Filename,Norm,All,CRC32Norm,CRC32All,Pack Hdr,MD5
sony011a.opk,0023B1B5,0023B6AB,B8A447E8,8D933146,589F,c9d3dac0f83a2346df302cd447059111
sony011b.opk,002340F9,002345A8,7671280E,D84A7A31,589F,c1f5ede6f3554a818760645e3d915c50
sony021.opk,00212D93,00213219,8DD5643B,6FBC089F,58A1,0621d39e42b9cdfeed85653e00beaac6
sony030a.opk,0014BBB5,0014C07D,13DCC3D9,417A9B34,58A3,2a0c746a8b608e5a8778ae48d2b27fea
sony030b.opk,00156949,00156E48,BA3C3634,DCD39DB1,58A3,c1b0085bf7be4cc5fd19d4042cfadd9d
sony040.opk,001818C5,00181D33,9E23C02C,59111B9A,58A7,680b1a8b5263c1222c8d49cfdbdc2a52
sony041a.opk,002596F2,00259C24,139A3A5B,75376250,58A7,a54093a3b1f7e459737047057f77dbb1
sony041b.opk,0025739E,00257870,CF852491,789E8285,58A7,bf6c13ffc65d48c9839ff6b9c6b51a7c
sony050.opk,0028C700,0028CBEF,28944931,5F800AEB,58A9,77fa61f1ae68ebbf453c08d3cae05cc8
sony051.opk,0029F600,0029FB81,A987BC74,7806A871,58A9,83347288f509ffb1e72dcb4b43daa6e3
sony061.opk,00226C24,00227187,0F9BC7A9,3F3951BE,58AB,273b1cc3cad8bca68ca4a637c76b4f20
sony070a.opk,0020C587,0020CA77,260CC782,F2FC2087,58AF,6e30f22f511fd96944e8fcec6b5a9703
sony070b.opk,0020C6C2,0020CBB4,55FF7463,8EF60C8D,58AF,b9c84adc6f723575d9f943bd5cff7770
sony080a.opk,0020FBD6,002100CA,6207CDEB,053361B7,58B1,05e600ea0248404eb51f5a96f9de8393
sony080b.opk,0020FACC,0020FFB9,A486433B,EF496565,58B1,e7f6882f2e85a04bed3fa627980ce970
sony090a.opk,001CF300,001CF814,EC6354B3,577DF31C,58B3,2f085ec259fa714cbaf1a0195bbaa8ce
sony090b.opk,001CEFC7,001CF4D9,1277724B,13EF4C10,58B3,3ba3b60893f6fea2f26c694e0c9270ae
sony100.opk,001E31FE,001E3781,2F79FF23,8EBE66CD,58B5,2ad840baf206df510cf8df58f1121dd6
sony110.opk,00218A6E,00218F2E,E1802FAA,F133B01F,58B9,2d581cfd8d576071516bd97325e705c2
sony111.opk,001F7B54,001F802C,1D97C1BA,0C17A8D5,58B9,74ddead62ee5bf2f31f33fb0eb563ffb
